START:0
10	1	109
20	1	120
30	1	133
40	1	146
50	1	160
60	1	175
70	2	191
80	2	206
90	2	223
100	2	240
110	2	258
120	2	276
130	2	295
140	2	315
150	2	336
160	2	357
170	3	378
180	3	401
190	3	425
200	3	449
210	3	473
220	3	498
230	3	525
240	3	550
250	3	578
260	3	605
270	3	633
280	3	662
290	3	692
300	3	722
310	3	753
320	3	784
330	3	815
340	3	848
350	3	881
360	3	915
370	3	949
380	4	984
390	4	1020
400	4	1056
410	5	1094
420	5	1132
430	6	1171
440	6	1211
450	6	1251
460	7	1292
470	7	1334
480	7	1377
490	7	1419
500	8	1463
510	8	1508
520	8	1553
530	8	1598
540	8	1644
550	8	1691
560	8	1737
570	8	1786
580	9	1834
590	9	1883
600	10	1932
610	10	1983
620	10	2034
630	11	2085
640	11	2137
650	12	2190
660	12	2243
670	12	2298
680	13	2353
690	13	2407
700	13	2463
710	13	2520
720	13	2577
730	13	2635
740	13	2692
750	13	2751
760	13	2810
770	14	2869
780	14	2929
790	15	3020
800	15	3081
810	16	3144
820	16	3207
830	17	3270
840	17	3334
850	18	3398
860	18	3464
870	19	3529
880	19	3595
890	19	3662
900	19	3729
910	20	3797
920	20	3865
930	20	3934
940	20	4003
950	20	4072
960	20	4142
970	21	4213
980	21	4284
990	21	4355
1000	22	4426
1010	23	4498
1020	23	4570
1030	24	4643
1040	25	4717
1050	25	4791
1060	26	4866
1070	27	4941
1080	28	5017
1090	28	5092
1100	30	5168
1110	31	5245
1120	32	5322
1130	33	5400
1140	35	5478
1150	36	5556
1160	37	5635
1170	39	5715
1180	40	5795
1190	41	5875
1200	43	5956
1210	44	6038
1220	45	6120
1230	46	6202
1240	47	6284
1250	48	6368
1260	48	6452
1270	49	6536
1280	50	6622
1290	50	6706
1300	50	6792
1310	51	6878
1320	51	6964
1330	52	7048
1340	52	7134
1350	53	7219
1360	54	7303
1370	55	7385
1380	57	7466
1390	60	7547
1400	63	7626
1410	66	7704
1420	70	7781
1430	75	7858
1440	79	7934
1450	84	8010
1460	89	8086
1470	93	8161
1480	97	8236
1490	102	8310
1500	106	8383
1510	111	8455
1520	115	8526
1530	120	8598
1540	124	8669
1550	129	8740
1560	133	8809
1570	137	8878
1580	142	8946
1590	146	9014
1600	150	9081
1610	154	9147
1620	158	9213
1630	163	9278
1640	167	9342
1650	172	9406
1660	176	9470
1670	180	9533
1680	183	9594
1690	187	9656
1700	191	9717
1710	194	9777
1720	198	9836
1730	201	9894
1740	205	9953
1750	209	10011
1760	212	10068
1770	215	10125
1780	218	10180
1790	222	10235
1800	225	10289
1810	228	10343
BREAK:1810
