START:0
20	5	86	935
30	6	95	896
40	6	106	950
50	7	117	1090
60	8	129	1215
70	8	141	1215
80	9	154	1340
90	10	167	1371
100	11	182	1503
110	12	196	1542
120	13	212	1550
130	14	227	1535
140	15	245	1683
150	16	262	1722
160	17	279	1714
170	18	297	1846
180	20	317	1994
190	21	336	1885
200	22	355	1971
210	23	376	2197
220	25	396	2236
230	26	418	1979
240	28	440	2189
250	29	463	2368
260	31	486	2423
270	32	510	2439
280	34	534	2540
290	36	560	2548
300	37	585	2329
310	39	611	2446
320	41	637	2587
330	43	666	2711
340	45	696	2976
350	47	726	3039
360	49	756	3078
370	51	787	3148
380	53	820	3343
390	55	852	3343
400	57	885	3405
410	59	919	3467
420	61	955	3607
430	64	991	3732
440	66	1027	3693
450	68	1064	3685
460	71	1102	3857
470	73	1140	3888
480	76	1179	3818
490	78	1219	3880
500	81	1259	4028
510	83	1300	4098
520	86	1343	4254
530	89	1385	4153
540	91	1428	4317
550	94	1472	4363
560	96	1516	4504
570	99	1560	4426
580	102	1605	4496
590	104	1650	4527
600	107	1696	4566
610	110	1743	4737
620	113	1789	4675
630	115	1837	4722
640	118	1885	4792
650	121	1933	4885
660	124	1982	4987
670	127	2031	4971
680	129	2081	5041
690	132	2132	5119
700	134	2183	5104
710	137	2234	5228
720	139	2285	5166
730	142	2337	5088
740	145	2390	5330
750	148	2442	5361
760	151	2495	5221
770	154	2550	5322
780	157	2604	5400
790	161	2659	5454
800	164	2714	5634
810	167	2770	5626
820	170	2826	5532
830	173	2883	5673
840	177	2940	5782
850	180	2997	5844
860	183	3054	5665
870	186	3113	5852
880	189	3171	6015
890	193	3230	6008
900	196	3290	6000
910	199	3349	6023
920	202	3410	6039
930	206	3470	6093
940	209	3531	6187
950	212	3592	6148
960	216	3653	6124
970	219	3716	6265
980	223	3778	6218
990	227	3840	6280
1000	231	3903	6265
1010	235	3966	6304
1020	239	4030	6296
1030	243	4094	6428
1040	246	4158	6545
1050	250	4222	6452
1060	254	4286	6421
1070	258	4352	6584
1080	262	4417	6608
1090	266	4482	6553
1100	270	4549	6615
1110	274	4615	6732
1120	278	4681	6803
1130	283	4748	6725
1140	287	4815	6662
1150	291	4882	6709
1160	296	4950	6943
1170	300	5019	6911
1180	304	5086	6802
1190	309	5155	6841
1200	313	5223	6803
1210	318	5292	6982
1220	322	5362	6974
1230	327	5431	6943
1240	331	5501	6966
1250	336	5570	6966
1260	340	5641	7176
1270	345	5711	7106
1280	349	5782	7052
1290	354	5853	7028
1300	358	5925	7161
1310	363	5996	7231
1320	367	6068	7216
1330	371	6140	7231
1340	375	6213	7247
1350	380	6286	7371
1360	384	6359	7387
1370	388	6432	7317
1380	392	6505	7216
1390	396	6578	7262
1400	401	6651	7356
1410	405	6725	7496
1420	409	6798	7231
1430	414	6872	7332
1440	419	6946	7441
1450	424	7021	7527
1460	428	7094	7410
1470	433	7168	7402
1480	437	7242	7301
1490	440	7315	7200
1500	443	7386	7153
1510	446	7454	6795
1520	448	7522	6709
1530	451	7589	6553
1540	453	7654	6397
1550	455	7716	6296
1560	457	7775	5906
1570	459	7834	5766
1580	461	7891	5634
1590	463	7945	5439
1600	465	7997	5073
1610	467	8048	5010
1620	469	8096	4722
1630	470	8143	4582
1640	472	8187	4582
1650	473	8229	4231
1660	474	8269	3943
1670	475	8309	3763
1680	477	8346	3693
1690	478	8382	3545
1700	479	8415	3272
1710	480	8446	3077
1720	481	8476	2891
1730	481	8504	2852
1740	482	8531	2657
1750	483	8555	2376
1760	484	8578	2221
1770	485	8599	1995
1780	485	8618	1831
1790	486	8635	1800
1800	486	8651	1620
1810	487	8664	1340
1820	487	8677	1153
1830	488	8687	927
1840	488	8695	654
1850	488	8701	529
1860	488	8706	459
1870	488	8709	327
1880	488	8711	116
1890	488	8710	85
STOP:1420	BREAK1:1890	BREAK2:1890
laserpoint1=:1	laserpoint2=:1	laserpoint3=:1
