START:0
20	0	25	947	2385	1028	1437	80
30	0	36	1072	2385	1122	1312	50
40	0	47	1103	2712	1169	1609	65
50	0	59	1219	2899	1216	1679	-3
60	0	72	1313	3227	1262	1913	-50
70	0	85	1344	3227	1449	1882	105
80	0	99	1429	3554	1590	2124	160
90	0	114	1522	3788	1590	2265	67
100	0	129	1585	3741	1590	2156	5
110	0	145	1678	4022	1683	2343	5
120	0	162	1709	4489	1824	2780	114
130	0	180	1748	4770	1730	3022	-17
140	0	198	1849	4396	1870	2547	21
150	0	216	1872	4302	1917	2430	44
160	0	235	1926	5097	2011	3170	84
170	0	254	1950	5612	2104	3662	154
180	0	274	2059	5284	2104	3225	45
190	0	295	2097	4770	2151	2672	53
200	0	316	2128	4817	2011	2688	-117
210	0	338	2198	5004	2198	2805	0
220	0	361	2292	4209	2291	1917	0
230	0	385	2432	3227	2432	795	0
240	0	410	2447	2525	2525	77	77
250	0	436	2564	2525	2665	-38	101
260	0	462	2680	2712	2665	32	-14
270	0	489	2696	2806	2852	109	156
280	0	517	2773	2899	2852	125	79
290	0	545	2836	3040	2946	203	110
300	0	573	2773	3180	2946	406	172
310	0	602	2820	3507	2946	687	125
320	0	631	2859	4349	2852	1490	-6
330	0	659	2859	5425	3180	2565	320
340	0	688	2836	5612	3086	2776	250
350	0	716	2836	6080	3367	3244	531
360	0	743	2804	6688	3694	3883	889
370	0	772	2851	6594	3273	3742	422
380	0	800	2867	6220	2993	3353	126
390	0	829	2937	6126	2899	3189	-37
400	0	858	2975	5659	2946	2683	-29
410	0	888	2999	5612	3086	2613	87
420	0	918	3100	5472	3040	2371	-60
430	0	950	3209	5425	3133	2216	-75
440	0	981	3232	4957	3227	1725	-5
450	0	1014	3286	5051	3414	1764	127
460	0	1047	3317	5284	3273	1967	-43
470	0	1081	3356	5191	3460	1834	104
480	0	1115	3426	5799	3554	2372	127
490	0	1150	3480	6220	3648	2739	167
500	0	1185	3558	6173	3881	2614	323
510	0	1221	3550	5892	3928	2342	377
520	0	1258	3659	6126	3835	2467	175
530	0	1295	3667	5752	3648	2085	-19
